recipe_title,ingredients
Riz au jambon,"['riz', 'jambon', 'fromage', 'oeufs']"
Brochettes de Saint-Jacques et crevettes marinées à l'ail et au citron,"['herbes', 'huile', 'crevettes', 'noix de saint-jacques', 'citron', 'ail']"
poulet au miel,"['miel', 'moutarde', 'bouillon', 'poivre', 'sel', 'poulet', 'eau', 'sauce chinoise']"
Filet mignon de porc aux courgettes,"['huile', 'courgette', 'beurre', 'poivre', 'sel', 'filet mignon', 'raisin', 'bouillon', 'ail', 'herbes']"
Filets de poisson bonne femme,"['beurre', 'herbes', 'crème', 'sel', 'poivre', 'poisson', 'alcool', 'oignon', '']"
Poulet à l'estragon à la mijoteuse électrique,"['vinaigre', 'bouillon', 'moutarde', 'poulet', 'patates', 'haricots verts', 'oignon', 'ail', 'estragon', 'eau', 'alcool']"
Burger d'Halloween,"['fromage', 'sel', 'poivre', 'pain', 'boeufs', 'cornichons', 'salade', 'olives', 'oignon', 'mayonnaise', 'ketchup']"
Filets de saumon au pesto,"['pesto', 'saumon', 'crème']"
Morbiflette à la saucisse,"['saucisse', 'oignon', 'crème', 'fromage', 'patates', 'alcool']"
Omelette au fromage de fromage,"['poivre', 'sel', 'oeufs', 'fromage frais', 'lait', 'herbes']"
Thon en papillote à l'ail,"['sel', 'crème', 'poisson', 'ail']"
Chou chinois sauce chinoise,"['oignon', 'huile', 'herbes', 'sauce chinoise', 'boeufs']"
