recipe_title,ingredients
Risotto courgettes,"['riz', 'courgettes', 'oignon', 'ail', 'bouillon', 'beurre', 'fromage', 'sel', 'poivre', 'huile']"
Poêlée de quinoa,"['quinoa', 'carotte', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'herbes', 'courgettes', 'citron']"
Tortilla simple,"['oeufs', 'patates', 'oignon', 'huile', 'sel', 'poivre', 'herbes', 'ail', 'beurre', 'piment']"
Poulet aux,"['poulet', '', 'oignon', 'ail', 'sel', 'poivre', 'huile', 'crème', 'herbes', 'citron']"
Salade tomate maïs,"['tomate', 'maïs', 'oignon', 'concombre', 'huile', 'sel', 'poivre', 'vinaigre', 'herbes', 'herbes']"
Poisson au four,"['poisson', 'citron', 'ail', 'oignon', 'herbes', 'huile', 'sel', 'poivre', 'herbes', 'beurre']"
Pâtes aux légumes sauté,"['pâtes', 'carotte', 'courgettes', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'crème', 'fromage']"
Poulet crémeux ail,"['poulet', 'ail', 'oignon', 'crème', 'sel', 'poivre', 'huile', 'beurre', 'herbes', 'herbes']"
Riz à la tomate,"['riz', 'tomate', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'bouillon', 'herbes', 'citron']"
Salade au saumon,"['saumon', 'salade', 'oignon', 'citron', 'huile', 'sel', 'poivre', 'tomate', 'herbes', 'maïs']"
Purée maison,"['patates', 'lait', 'beurre', 'sel', 'poivre', 'crème', 'ail', 'huile', 'épices', 'herbes']"
Pâtes crème herbes,"['pâtes', 'crème', 'herbes', 'ail', 'sel', 'poivre', 'huile', 'oignon', 'fromage', 'citron']"
Tarte aux légumes,"['pâte', 'courgettes', 'carotte', 'tomate', 'oignon', 'ail', 'sel', 'poivre', 'huile', 'fromage']"
Poulet aux herbes,"['poulet', 'herbes', 'herbes', 'ail', 'sel', 'poivre', 'huile', 'oignon', 'herbes', 'citron']"
Soupe carotte épices,"['carotte', 'oignon', 'ail', 'bouillon', 'sel', 'poivre', 'huile', 'épices', 'crème', 'beurre']"
Boeufs poêlé ail herbes,"['boeufs', 'ail', 'herbes', 'oignon', 'huile', 'sel', 'poivre', 'beurre', 'herbes', 'citron']"
Ratatouille rapide,"['courgettes', 'aubergine', 'poivron', 'tomate', 'oignon', 'ail', 'huile', 'sel', 'poivre', 'herbes']"
Pâtes poisson olives,"['pâtes', 'poisson', 'olives', 'ail', 'oignon', 'huile', 'sel', 'poivre', 'tomate', 'herbes']"
Poulet au citron doux,"['poulet', 'citron', 'ail', 'oignon', 'huile', 'sel', 'poivre', 'crème', 'herbes', 'miel']"
Poisson coco épices,"['poisson', 'lait', 'épices', 'ail', 'oignon', 'sel', 'poivre', 'huile', 'riz', 'citron']"
Taboulé oriental simplifié,"['semoule', 'tomate', 'concombre', 'oignon', 'herbes', 'huile', 'citron', 'sel', 'poivre', 'herbes']"
Curry courgettes coco,"['courgettes', 'lait', 'épices', 'oignon', 'ail', 'sel', 'poivre', 'huile', 'riz', 'herbes']"
Salade fraîcheur,"['salade', 'concombre', 'tomate', 'oignon', 'huile', 'vinaigre', 'sel', 'poivre', 'maïs', 'herbes']"
Risotto fromage,"['riz', 'bouillon', 'fromage', 'oignon', 'ail', 'beurre', 'sel', 'poivre', 'huile', 'crème']"
Mousse au chocolat maison,"['chocolat', 'oeufs', 'sucre', 'beurre', 'vanille', 'sel', 'crème', 'cacao', 'sucre', 'chocolat râpé']"
Tarte aux pommes classique,"['pâte', 'pommes', 'sucre', 'beurre', 'épices', 'vanille', 'citron', 'farine', 'confiture d’abricot', 'sucre']"
Crêpes sucrées,"['farine', 'oeufs', 'lait', 'sucre', 'beurre bouillon', 'vanille', 'sel', 'alcool', 'sucre', 'confiture']"
Brownies bouillonants,"['chocolat', 'beurre', 'sucre', 'farine', 'oeufs', 'vanille', 'sel', 'noix', 'cacao', 'chocolat']"
Cookies moelleux,"['farine', 'beurre', 'sucre', 'sucre', 'oeufs', 'vanille', 'levure', 'sel', 'chocolat', 'cacao']"
Gâteau au yaourt,"['yaourt', 'farine', 'oeufs', 'sucre', 'huile', 'levure', 'vanille', 'citron', 'sel', 'sucre']"
Tiramisu rapide,"['mascarpone', 'oeufs', 'sucre', 'café', 'biscuits', 'cacao', 'vanille', 'crème', 'chocolat', 'alcool']"
Clafoutis aux cerises,"['cerises', 'oeufs', 'farine', 'sucre', 'lait', 'vanille', 'beurre', 'sel', 'sucre', 'noix']"
Compote de pommes maison,"['pommes', 'sucre', 'vanille', 'épices', 'beurre', 'eau', 'citron', 'sel', 'miel', 'raisin']"
Panna cotta vanille,"['crème', 'sucre', 'vanille', 'gélatine', 'lait', 'framboises', 'sucre', 'citron', 'miel', 'coulis fruits rouges']"
Gâteau au chocolat,"['chocolat', 'beurre', 'sucre', 'oeufs', 'farine', 'levure', 'vanille', 'sel', 'cacao', 'crème']"
Riz au lait crémeux,"['riz', 'lait', 'sucre', 'vanille', 'beurre', 'sel', 'crème', 'épices', 'citron', 'raisin']"
Madeleines maison,"['farine', 'oeufs', 'sucre', 'beurre', 'vanille', 'miel', 'levure', 'citron', 'sel', 'lait']"
Flan pâtissier,"['lait', 'oeufs', 'sucre', 'maïzena', 'vanille', 'pâte', 'beurre', 'sel', 'crème', 'sucre']"
Tarte aux poires,"['pâte', 'poires', 'amandes', 'sucre', 'beurre', 'oeufs', 'vanille', 'farine', 'crème', 'épices']"
Churros maison,"['farine', 'eau', 'sucre', 'sel', 'beurre', 'vanille', 'huile', 'épices', 'sucre', 'chocolat']"
Muffins myrtilles,"['farine', 'sucre', 'beurre', 'oeufs', 'levure', 'lait', 'vanille', 'myrtilles', 'sel', 'citron']"
Crumble pommes épices,"['pommes', 'beurre', 'farine', 'sucre', 'épices', 'vanille', 'amandes', 'citron', 'sel', 'sucre']"
Banana bread,"['banane', 'farine', 'sucre', 'oeufs', 'vanille', 'levure', 'sel', 'beurre', 'noix', 'épices']"
Verrines citron spéculoos,"['citron', 'fromage', 'sucre', 'crème', 'spéculoos', 'beurre', 'citron', 'vanille', 'miel', 'sucre']"
Mousse aux fruits rouges,"['fruits rouges', 'sucre', 'crème', 'vanille', 'gélatine', 'citron', 'yaourt', 'miel', 'sucre', 'chocolat']"
Semoule au lait,"['semoule', 'lait', 'sucre', 'vanille', 'citron', 'beurre', 'sel', 'miel', 'épices', 'raisin']"
Tarte citron facile,"['pâte', 'citron', 'sucre', 'oeufs', 'beurre', 'maïzena', 'vanille', 'citron', 'sel', 'sucre']"
Moelleux aux amandes,"['amandes', 'farine', 'beurre', 'sucre', 'oeufs', 'vanille', 'levure', 'sel', 'citron', 'crème']"
Gâteau marbré,"['farine', 'beurre', 'sucre', 'oeufs', 'vanille', 'cacao', 'lait', 'levure', 'sel', 'crème']"
Tarte aux fraises,"['pâte', 'fraises', 'crème pâtissière', 'vanille', 'sucre', 'citron', 'beurre', 'gelée', 'sel', 'lait']"
Brookies,"['farine', 'sucre', 'oeufs', 'beurre', 'chocolat', 'cacao', 'vanille', 'sel', 'levure', 'noix']"
Gâteau à la banane chocolat,"['banane', 'farine', 'sucre', 'oeufs', 'cacao', 'chocolat', 'beurre', 'levure', 'sel', 'vanille']"
Chocolat chaud épais,"['lait', 'chocolat', 'sucre', 'cacao', 'vanille', 'maïzena', 'crème', 'sel', 'miel', 'épices']"
Verrines panna cotta coco,"['crème coco', 'sucre', 'vanille', 'gélatine', 'lait', 'mangue', 'citron', 'sucre', 'miel', 'coulis']"
Biscuits sablés,"['farine', 'beurre', 'sucre', 'vanille', 'oeufs', 'sel', 'levure', 'citron', 'lait', 'amandes']"
Moelleux coco,"['noix de coco', 'sucre', 'oeufs', 'beurre', 'farine', 'vanille', 'sel', 'lait', 'crème']"
Blanc-manger coco,"['lait', 'lait', 'sucre', 'gélatine', 'vanille', 'citron', 'mangue', 'sucre', 'miel', 'crème']"
Tarte aux abricots,"['pâte', 'abricots', 'sucre', 'amandes', 'beurre', 'oeufs', 'vanille', 'farine', 'crème', 'miel']"
Mousse citronnée,"['citron', 'crème', 'sucre', 'gélatine', 'vanille', 'yaourt', 'citron', 'miel', 'lait', 'sucre']"
Crème brûlée,"['crème', 'oeufs', 'sucre', 'vanille', 'sel', 'sucre', 'citron', 'lait', 'beurre', 'miel']"
Poires au chocolat,"['poires', 'chocolat', 'sucre', 'vanille', 'beurre', 'citron', 'épices', 'miel', 'crème', 'amandes']"
Muffins chocolat noisette,"['farine', 'sucre', 'oeufs', 'noix', 'chocolat', 'beurre', 'levure', 'sel', 'vanille', 'lait']"
Gâteau renversé ananas,"['ananas', 'farine', 'sucre', 'beurre', 'oeufs', 'vanille', 'levure', 'sel', 'crème', 'caramel']"
Moelleux à l’orange,"['orange', 'farine', 'sucre', 'oeufs', 'beurre', 'vanille', 'levure', 'sel', 'citron', 'lait']"
Truffes au chocolat,"['chocolat', 'crème', 'beurre', 'cacao', 'vanille', 'sucre', 'noix', 'miel', 'sel', 'chocolat râpé']"
Pudding de pain,"['pain', 'lait', 'sucre', 'oeufs', 'vanille', 'raisin', 'beurre', 'épices', 'sel', 'miel']"
Cookies tout chocolat,"['farine', 'beurre', 'sucre', 'cacao', 'chocolat', 'oeufs', 'vanille', 'levure', 'sel', 'chocolat']"
Gâteau au citron,"['farine', 'sucre', 'oeufs', 'beurre', 'citron', 'vanille', 'levure', 'sel', 'lait', 'sucre']"
Crêpes façon Suzette,"['farine', 'oeufs', 'lait', 'sucre', 'beurre', 'orange', 'citron', 'vanille', 'alcool', 'miel']"
Tarte banane chocolat,"['pâte', 'banane', 'chocolat', 'crème', 'sucre', 'vanille', 'beurre', 'sel', 'citron', 'amandes']"
Crème dessert vanille,"['lait', 'sucre', 'vanille', 'oeufs', 'maïzena', 'crème', 'sel', 'miel', 'chocolat', 'citron']"
Fondant chocolat cœur coulant,"['chocolat', 'beurre', 'sucre', 'oeufs', 'farine', 'cacao', 'vanille', 'sel', 'crème', 'chocolat']"
Tarte aux myrtilles,"['pâte', 'myrtilles', 'sucre', 'farine', 'vanille', 'beurre', 'oeufs', 'citron', 'amandes', 'miel']"
Mousse mangue,"['mangue', 'sucre', 'crème', 'gélatine', 'vanille', 'citron', 'yaourt', 'miel', 'citron', 'sucre']"
Pavlova fruits rouges,"['blancs d’oeufs', 'sucre', 'vanille', 'maïzena', 'citron', 'crème', 'fruits rouges', 'sucre', 'miel', 'coulis']"
Chocolat liégeois,"['chocolat', 'lait', 'crème', 'sucre', 'vanille', 'cacao', 'beurre', 'chantilly', 'sel', 'sucre']"
Verrines poire spéculoos,"['poires', 'sucre', 'vanille', 'citron', 'spéculoos', 'crème', 'yaourt', 'miel', 'beurre', 'épices']"
Sorbet citron maison,"['citron', 'eau', 'sucre', 'citron', 'miel', 'blanc d’oeufs', 'vanille', 'herbes', 'sel', 'sucre']"
Tarte tatin,"['pommes', 'sucre', 'beurre', 'pâte', 'vanille', 'citron', 'sel', 'miel', 'épices', 'crème']"
Gâteau aux carotte,"['carotte', 'farine', 'sucre', 'oeufs', 'huile', 'épices', 'vanille', 'levure', 'sel', 'noix']"
Gâteau nature moelleux,"['farine', 'oeufs', 'sucre', 'beurre', 'vanille', 'lait', 'levure', 'sel', 'citron', 'crème']"
Beignets au sucre,"['farine', 'oeufs', 'sucre', 'beurre', 'lait', 'levure', 'vanille', 'sel', 'huile', 'sucre']"
Moelleux à la noix de coco,"['noix de coco', 'sucre', 'oeufs', 'beurre', 'lait', 'farine', 'vanille', 'sel', 'crème', 'citron']"
Mousse speculoos,"['spéculoos', 'crème', 'sucre', 'vanille', 'yaourt', 'beurre', 'citron', 'miel', 'lait', 'sucre']"
Flan coco,"['lait', 'lait', 'sucre', 'oeufs', 'vanille', 'caramel', 'beurre', 'citron', 'sel', 'coco râpée']"
Chocolat blanc mousseux,"['chocolat', 'crème', 'vanille', 'sucre', 'gélatine', 'lait', 'citron', 'miel', 'sel', 'coulis']"
Poires rôties,"['poires', 'beurre', 'sucre', 'vanille', 'miel', 'épices', 'amandes', 'citron', 'sel', 'crème']"
Gâteau aux prunes,"['prunes', 'farine', 'sucre', 'oeufs', 'beurre', 'vanille', 'levure', 'sel', 'citron', 'amandes']"
Crumble fruits rouges,"['fruits rouges', 'farine', 'beurre', 'sucre', 'vanille', 'amandes', 'citron', 'épices', 'sel', 'miel']"
Tarte au chocolat,"['pâte', 'chocolat', 'crème', 'beurre', 'sucre', 'vanille', 'oeufs', 'sel', 'cacao', 'miel']"
Smoothie mangue banane,"['banane', 'mangue', 'yaourt', 'lait', 'vanille', 'miel', 'citron', 'sucre', 'glace', 'citron']"
Gâteau nuage,"['farine', 'oeufs', 'sucre', 'beurre', 'vanille', 'levure', 'sel', 'crème', 'lait', 'citron']"
Gâteau chocolat poire,"['poires', 'chocolat', 'farine', 'sucre', 'oeufs', 'beurre', 'vanille', 'levure', 'cacao', 'sel']"
Pudding chocolat,"['pain', 'lait', 'chocolat', 'sucre', 'oeufs', 'vanille', 'beurre', 'sel', 'cacao', 'crème']"
